ChangedType,Dynamic?,AddedTag,addedXpath,typeChanged,oldType,oldTag,oldXpath,newType,newTag,newXpath,removedTag,removedXpath,DOM,CV,Result,Vista,GroundTruth
[PROP_CHANGED],Y,,,class,<>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[1]/dd[1]/a[1],<primary-link>,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[6]/div[1]/dl[1]/dd[1]/a[1],,,FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,audio,/html/body/audio[1],FP,,,,
[PROP_CHANGED],Y,,,id,<song-chart>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[5],<>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[5],,,FP,,,,
[PROP_CHANGED],Y,,,class,<song-chart new-player>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[5],<hot-artist-songs>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[5],,,FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,ul,/html/body/div[5]/div[1]/div[1]/div[2]/div[5]/ul[4],FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,ul,/html/body/div[5]/div[1]/div[1]/div[2]/div[5]/ul[3],FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,ul,/html/body/div[5]/div[1]/div[1]/div[2]/div[5]/ul[2],FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,ul,/html/body/div[5]/div[1]/div[1]/div[2]/div[5]/ul[1],FP,,,,
[NODE_REMOVED],,,,,,,,,,,h2,/html/body/div[5]/div[1]/div[1]/div[2]/div[5]/h2[1],TP,FP,TP,FP,????????? D
[PROP_CHANGED],,,,class,<newtags s>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[4],<tag-block>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[4],,,FP,FP,FP,FP,??????div D
[NODE_ADDED],,table,/html/body/div[5]/div[1]/div[1]/div[2]/div[4]/table[1],,,,,,,,,,TP,FP,TP,NA,???????table A
[NODE_REMOVED],,,,,,,,,,,ul,/html/body/div[5]/div[1]/div[1]/div[2]/div[4]/ul[3],TP,FP,TP,FP,???ul D
[PROP_CHANGED],Y,,,id,<SwfStore_dstat_0>,div,/html/body/div[7],<search_suggest>,div,/html/body/div[6],,,FP,,,,
[NODE_ADDED],,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[4]/div[3],,,,,,,,,,TP,FP,TP,NA,??????? A
[NODE_REMOVED],,,,,,,,,,,ul,/html/body/div[5]/div[1]/div[1]/div[2]/div[4]/ul[2],TP,FP,TP,FP,??ul D
[NODE_ADDED],,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[4]/div[2],,,,,,,,,,TP,TP,TP,NA,?? A
[NODE_REMOVED],,,,,,,,,,,ul,/html/body/div[5]/div[1]/div[1]/div[2]/div[4]/ul[1],TP,FP,TP,FP,??ul D
[NODE_ADDED],,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[4]/div[1],,,,,,,,,,TP,FP,TP,NA,???????div A
[NODE_REMOVED],,,,,,,,,,,h2,/html/body/div[5]/div[1]/div[1]/div[2]/div[4]/h2[1],TP,FP,TP,FP,??????h2 D
[PROP_CHANGED],,,,id,<dale_music_home_top_right2>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[3],<>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[3],,,FP,FN,FP,FN,blank div D
[NODE_ADDED],,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[3]/a[1],,,,,,,,,,TP,FP,TP,NA,???? A
[NODE_ADDED],,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[3]/div[4],,,,,,,,,,TP,TP,TP,NA,A
[NODE_ADDED],,ul,/html/body/div[6]/ul[1],,,,,,,,,,TP,TP,TP,NA,blank ul A
[NODE_ADDED],,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[3]/div[3],,,,,,,,,,TP,FP,TP,NA,?? A
[NODE_ADDED],,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[3]/div[2],,,,,,,,,,TP,FP,TP,NA,?? A
[NODE_ADDED],,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[3]/div[1],,,,,,,,,,TP,FP,TP,NA,???A
[PROP_CHANGED],,,,id,<dale_music_home_top_right>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[2],<dale_music_home_top_right2>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[2],,,TP,TP,TP,FN,invisible div
[PROP_CHANGED],Y,,,id,<>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[1],<dale_music_home_top_right>,div,/html/body/div[5]/div[1]/div[1]/div[2]/div[1],,,FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,a,/html/body/div[5]/div[1]/div[1]/div[2]/div[1]/a[1],FP,,,,
[NODE_REMOVED],,,,,,,,,,,p,/html/body/div[5]/div[1]/div[1]/div[2]/div[1]/p[2],TP,FP,TP,FP,???????? D
[NODE_REMOVED],,,,,,,,,,,p,/html/body/div[5]/div[1]/div[1]/div[2]/div[1]/p[1],TP,FP,TP,FP,??????? D
[NODE_ADDED],,div,/html/body/div[5]/div[1]/div[1]/div[1]/div[7],,,,,,,,,,TP,FP,TP,NA,invisible div A
[NODE_REMOVED],Y,,,,,,,,,,object,/html/body/div[7]/object[1],FP,,,,
[NODE_ADDED],,div,/html/body/div[5]/div[1]/div[1]/div[1]/div[6],,,,,,,,,,TP,FP,TP,NA,invisible div A
[NODE_ADDED],,div,/html/body/div[5]/div[1]/div[1]/div[1]/div[5],,,,,,,,,,TP,FP,TP,NA,invisible div A
[NODE_ADDED],,div,/html/body/div[5]/div[1]/div[1]/div[1]/div[4],,,,,,,,,,TP,FP,TP,NA,invisible div A
[NODE_ADDED],,div,/html/body/div[5]/div[1]/div[1]/div[1]/div[3],,,,,,,,,,TP,FP,TP,NA,????div A
[NODE_ADDED],,div,/html/body/div[5]/div[1]/div[1]/div[1]/div[2],,,,,,,,,,FP,FP,FP,NA,???????div U
